Время,Координата,Сера
21.3402,1121.21,200
21.3402,1136.36,200
21.3402,1151.52,200
21.3402,1166.67,200
21.3402,1181.82,200
21.3402,1196.97,200
21.3402,1212.12,200
21.3402,1227.27,200
21.3402,1242.42,200
21.3402,1257.58,200
21.3402,1272.73,200
21.3402,1287.88,200
21.3402,1303.03,200
21.3402,1318.18,200
21.3402,1333.33,200
21.3402,1348.48,200
21.3402,1363.64,200
21.3402,1378.79,200
21.3402,1393.94,200
21.3402,1409.09,200
21.3402,1424.24,200
21.3402,1439.39,200
21.3402,1454.55,200
21.3402,1469.7,200
21.3402,1484.85,200
21.3402,1500,200
32.0027,0,289
32.0027,15.1515,289
32.0027,30.303,289
32.0027,45.4545,200
32.0027,60.6061,200
32.0027,75.7576,200
32.0027,90.9091,200
32.0027,106.061,200
32.0027,121.212,200
32.0027,136.364,200
32.0027,151.515,200
32.0027,166.667,200
32.0027,181.818,200
32.0027,196.97,200
32.0027,212.121,200
32.0027,227.273,200
32.0027,242.424,200
32.0027,257.576,200
32.0027,272.727,200
32.0027,287.879,200
32.0027,303.03,200
32.0027,318.182,200
32.0027,333.333,200
32.0027,348.485,200
32.0027,363.636,200
32.0027,378.788,200
32.0027,393.939,200
32.0027,409.091,200
32.0027,424.242,200
32.0027,439.394,200
32.0027,454.545,200
32.0027,469.697,200
32.0027,484.848,200
32.0027,500,200
32.0027,515.152,200
32.0027,530.303,200
32.0027,545.455,200
32.0027,560.606,200
32.0027,575.758,200
32.0027,590.909,200
32.0027,606.061,200
32.0027,621.212,200
32.0027,636.364,200
32.0027,651.515,200
32.0027,666.667,200
32.0027,681.818,200
32.0027,696.97,200
32.0027,712.121,200
32.0027,727.273,200
32.0027,742.424,200
32.0027,757.576,200
32.0027,772.727,200
32.0027,787.879,200
32.0027,803.03,200
32.0027,818.182,200
32.0027,833.333,200
32.0027,848.485,200
32.0027,863.636,200
32.0027,878.788,200
32.0027,893.939,200
32.0027,909.091,200
32.0027,924.242,200
32.0027,939.394,200
32.0027,954.545,200
32.0027,969.697,200
32.0027,984.848,200
32.0027,1000,200
32.0027,1015.15,200
32.0027,1030.3,200
32.0027,1045.45,200
32.0027,1060.61,200
32.0027,1075.76,200
32.0027,1090.91,200
32.0027,1106.06,200
32.0027,1121.21,200
32.0027,1136.36,200
32.0027,1151.52,200
32.0027,1166.67,200
32.0027,1181.82,200
32.0027,1196.97,200
32.0027,1212.12,200
32.0027,1227.27,200
32.0027,1242.42,200
32.0027,1257.58,200
32.0027,1272.73,200
32.0027,1287.88,200
32.0027,1303.03,200
32.0027,1318.18,200
32.0027,1333.33,200
32.0027,1348.48,200
32.0027,1363.64,200
32.0027,1378.79,200
32.0027,1393.94,200
32.0027,1409.09,200
32.0027,1424.24,200
32.0027,1439.39,200
32.0027,1454.55,200
32.0027,1469.7,200
32.0027,1484.85,200
32.0027,1500,200
42.6652,0,289
42.6652,15.1515,289
42.6652,30.303,289
42.6652,45.4545,289
42.6652,60.6061,200
42.6652,75.7576,200
42.6652,90.9091,200
42.6652,106.061,200
42.6652,121.212,200
42.6652,136.364,200
42.6652,151.515,200
42.6652,166.667,200
42.6652,181.818,200
42.6652,196.97,200
42.6652,212.121,200
42.6652,227.273,200
42.6652,242.424,200
42.6652,257.576,200
42.6652,272.727,200
42.6652,287.879,200
42.6652,303.03,200
42.6652,318.182,200
42.6652,333.333,200
42.6652,348.485,200
42.6652,363.636,200
42.6652,378.788,200
42.6652,393.939,200
42.6652,409.091,200
42.6652,424.242,200
42.6652,439.394,200
42.6652,454.545,200
42.6652,469.697,200
42.6652,484.848,200
42.6652,500,200
42.6652,515.152,200
42.6652,530.303,200
42.6652,545.455,200
42.6652,560.606,200
42.6652,575.758,200
42.6652,590.909,200
42.6652,606.061,200
42.6652,621.212,200
42.6652,636.364,200
42.6652,651.515,200
42.6652,666.667,200
42.6652,681.818,200
42.6652,696.97,200
42.6652,712.121,200
42.6652,727.273,200
42.6652,742.424,200
42.6652,757.576,200
42.6652,772.727,200
42.6652,787.879,200
42.6652,803.03,200
42.6652,818.182,200
42.6652,833.333,200
42.6652,848.485,200
42.6652,863.636,200
42.6652,878.788,200
42.6652,893.939,200
42.6652,909.091,200
42.6652,924.242,200
42.6652,939.394,200
42.6652,954.545,200
42.6652,969.697,200
42.6652,984.848,200
42.6652,1000,200
42.6652,1015.15,200
42.6652,1030.3,200
42.6652,1045.45,200
42.6652,1060.61,200
42.6652,1075.76,200
42.6652,1090.91,200
42.6652,1106.06,200
42.6652,1121.21,200
42.6652,1136.36,200
42.6652,1151.52,200
42.6652,1166.67,200
42.6652,1181.82,200
42.6652,1196.97,200
42.6652,1212.12,200
42.6652,1227.27,200
42.6652,1242.42,200
42.6652,1257.58,200
42.6652,1272.73,200
42.6652,1287.88,200
42.6652,1303.03,200
42.6652,1318.18,200
42.6652,1333.33,200
42.6652,1348.48,200
42.6652,1363.64,200
42.6652,1378.79,200
42.6652,1393.94,200
42.6652,1409.09,200
42.6652,1424.24,200
42.6652,1439.39,200
42.6652,1454.55,200
42.6652,1469.7,200
42.6652,1484.85,200
42.6652,1500,200
53.3276,0,289
53.3276,15.1515,289
53.3276,30.303,289
53.3276,45.4545,289
53.3276,60.6061,289
53.3276,75.7576,200
53.3276,90.9091,200
53.3276,106.061,200
53.3276,121.212,200
53.3276,136.364,200
53.3276,151.515,200
53.3276,166.667,200
53.3276,181.818,200
53.3276,196.97,200
53.3276,212.121,200
53.3276,227.273,200
53.3276,242.424,200
53.3276,257.576,200
53.3276,272.727,200
53.3276,287.879,200
53.3276,303.03,200
53.3276,318.182,200
53.3276,333.333,200
53.3276,348.485,200
53.3276,363.636,200
53.3276,378.788,200
53.3276,393.939,200
53.3276,409.091,200
53.3276,424.242,200
