Ошибка прогнозирования,Время
0,2:14:5
0,2:14:23
0,2:14:42
0,2:15:1
0,2:15:20
0,2:15:39
0,2:15:57
0,2:16:16
0,2:16:35
0,2:16:54
0,2:17:12
0,2:17:31
0,2:17:50
0,2:18:9
0,2:18:28
0,2:18:47
0,2:19:6
0,2:19:25
0,2:19:44
0,2:20:2
0,2:20:22
0,2:20:40
0,2:20:59
0,2:21:18
0,2:21:37
0,2:21:56
0,2:22:15
0,2:22:33
0,2:22:52
0,2:23:11
0,2:23:29
0,2:23:48
0,2:24:7
0,2:24:26
0,2:24:44
0,2:25:3
0,2:25:22
0,2:25:41
0,2:26:0
0,2:26:19
0,2:26:38
0,2:26:57
0,2:27:16
0,2:27:35
0,2:27:54
0,2:28:13
0,2:28:33
0,2:28:52
0,2:29:12
0,2:29:32
0,2:29:52
0,2:30:12
0,2:30:32
0,2:30:52
0,2:31:13
0,2:31:33
0,2:31:54
0,2:32:15
0,2:32:35
0,2:32:56
0,2:33:17
0,2:33:38
0,2:33:59
0,2:34:20
0,2:34:40
0,2:35:1
0,2:35:22
0,2:35:43
0,2:36:3
0,2:36:24
0,2:36:45
0,2:37:6
0,2:37:26
0,2:37:47
0,2:38:8
0,2:38:29
0,2:38:50
0,2:39:11
0,2:39:32
0,2:39:54
0,2:40:15
0,2:40:37
0,2:40:59
0,2:41:22
0,2:41:44
0,2:42:6
0,2:42:28
0,2:42:50
0,2:43:12
0,2:43:34
0,2:43:56
0,2:44:17
0,2:44:39
0,2:45:0
0,2:45:21
0,2:45:43
0,2:46:4
0,2:46:26
0,2:46:48
0,2:47:10
0,2:47:32
0,2:47:54
0,2:48:17
0,2:48:40
0,2:49:3
0,2:49:26
0,2:49:48
0,2:50:11
0,2:50:34
0,2:50:57
0,2:51:19
0,2:51:42
0,2:52:5
0,2:52:28
0,2:52:51
0,2:53:13
0,2:53:36
0,2:53:59
0,2:54:21
0,2:54:44
0,2:55:7
0,2:55:31
0,2:55:54
0,2:56:18
0,2:56:42
0,2:57:6
0,2:57:29
0,2:57:53
0,2:58:17
0,2:58:41
0,2:59:5
0,2:59:29
0,2:59:53
0,3:0:17
0,3:0:41
0,3:1:4
0,3:1:27
0,3:1:50
0,3:2:12
0,3:2:34
0,3:2:56
0,3:3:18
0,3:3:40
0,3:4:2
0,3:4:24
0,3:4:46
0.161343,3:5:8
0.441584,3:5:30
0.559071,3:5:53
0.573365,3:6:17
0.307161,3:6:40
0.292808,3:7:4
0.306163,3:7:27
0.640652,3:7:51
0.664148,3:8:15
0.688143,3:8:39
0.644712,3:9:3
0.407525,3:9:27
0.32718,3:9:51
0.10116,3:10:14
0.101907,3:10:38
0.0983772,3:11:1
0.0919886,3:11:25
0.0884712,3:11:48
0.0874926,3:12:12
0.0894711,3:12:36
0.094091,3:13:0
0.10196,3:13:24
0.106552,3:13:49
0,3:14:13
0.230524,3:14:36
0.127648,3:15:0
0.209668,3:15:24
0.453148,3:15:48
0.589265,3:16:12
0.836864,3:16:36
1.03024,3:17:0
1.26642,3:17:23
1.31333,3:17:47
1.36378,3:18:11
1.40795,3:18:35
1.43942,3:18:58
1.45836,3:19:21
1.47016,3:19:43
1.1381,3:20:6
0.759969,3:20:29
0.725794,3:20:51
0.378503,3:21:14
0.327093,3:21:37
0.317756,3:22:0
0.309584,3:22:23
0,3:22:46
0.0934144,3:23:9
0.163334,3:23:33
0.261906,3:23:56
0.255702,3:24:19
0.248966,3:24:42
0.240568,3:25:5
0.230338,3:25:28
0.217047,3:25:51
0.200787,3:26:13
0.18045,3:26:35
0.154157,3:26:57
0,3:27:19
0.287871,3:27:41
0,3:28:3
0,3:28:25
0,3:28:47
0,3:29:9
0,3:29:30
0,3:29:52
0,3:30:14
0,3:30:36
0,3:30:58
0,3:31:19
0,3:31:41
0,3:32:2
0,3:32:23
0,3:32:45
0,3:33:6
0,3:33:27
0,3:33:49
0,3:34:10
0,3:34:32
0,3:34:53
0,3:35:15
0,3:35:36
0,3:35:58
0,3:36:19
0,3:36:40
0,3:37:1
0,3:37:21
0,3:37:42
0,3:38:2
0,3:38:23
0,3:38:43
0,3:39:3
0,3:39:23
0,3:39:42
0,3:40:2
0,3:40:22
0,3:40:41
0,3:41:1
0,3:41:20
0,3:41:40
0,3:41:59
0,3:42:18
0,3:42:37
0,3:42:56
0,3:43:16
0,3:43:34
0,3:43:53
0,3:44:12
0,3:44:31
0,3:44:50
0,3:45:9
0,3:45:28
0,3:45:46
0,3:46:5
0,3:46:24
0,3:46:42
0,3:47:1
0,3:47:20
0,3:47:38
0,3:47:56
0,3:48:15
0,3:48:33
0,3:48:51
0,3:49:10
0,3:49:28
0,3:49:46
0,3:50:3
0,3:50:21
0,3:50:39
0,3:50:57
0,3:51:14
0,3:51:32
0,3:51:49
0,3:52:7
0,3:52:24
0,3:52:41
0,3:52:59
0,3:53:16
0,3:53:33
0,3:53:50
0,3:54:7
0,3:54:24
0,3:54:40
0,3:54:57
0,3:55:13
0,3:55:30
0,3:55:46
0,3:56:2
0,3:56:19
0,3:56:35
0,3:56:52
0,3:57:8
0,3:57:25
0,3:57:41
0,3:57:57
0,3:58:14
0,3:58:30
0,3:58:47
0,3:59:3
0,3:59:19
0,3:59:36
0,3:59:52
0,4:0:9
0,4:0:25
0,4:0:42
0,4:0:58
0,4:1:15
0,4:1:31
0,4:1:47
0,4:2:4
0,4:2:20
0,4:2:36
0,4:2:53
0,4:3:9
0,4:3:25
0,4:3:42
0,4:3:58
0,4:4:14
0,4:4:31
0,4:4:47
0,4:5:4
0,4:5:20
0,4:5:36
0,4:5:53
0,4:6:9
0,4:6:25
0,4:6:42
0,4:6:58
0,4:7:14
0,4:7:31
0,4:7:47
0,4:8:3
0,4:8:19
0,4:8:36
0,4:8:52
0,4:9:8
0,4:9:25
0,4:9:41
0,4:9:57
0,4:10:14
0,4:10:30
0,4:10:46
0,4:11:2
0,4:11:18
0,4:11:34
0,4:11:50
0,4:12:6
0,4:12:22
0,4:12:38
0,4:12:54
0,4:13:10
0,4:13:26
0,4:13:42
0,4:13:59
0,4:14:15
0,4:14:31
0,4:14:47
0,4:15:3
0,4:15:19
0,4:15:35
0,4:15:51
0,4:16:7
0,4:16:24
0,4:16:40
0,4:16:56
0,4:17:12
0,4:17:28
0,4:17:44
0,4:18:0
0,4:18:16
0,4:18:33
0,4:18:49
0,4:19:5
0,4:19:21
0,4:19:37
0,4:19:53
0,4:20:9
0,4:20:26
0,4:20:42
0,4:20:59
0,4:21:15
0,4:21:32
0,4:21:48
0,4:22:5
0,4:22:22
0,4:22:38
0,4:22:55
0,4:23:12
0,4:23:28
0,4:23:45
0,4:24:2
0,4:24:18
0,4:24:35
0,4:24:52
0,4:25:8
0,4:25:25
